銘柄コード,日時,数量,約定価格,終値,約定代金,手数料,取得費（税抜）,実現損益,評価損益,コード
XLF,,0,,,-0.036,-0.743708475,0,-0.779708,-0.036,
XOM,"2021-05-10, 13:03:02",1,63.295,62.58,-63.295,-0.63295,63.92795,0,-0.715,O
XOM,"2021-05-10, 14:35:40",-1,62.835,62.58,62.835,-0.628789459,-63.92795,-1.721739,0.255,C
XOM,"2021-05-12, 10:41:46",1,61.4681,60.04,-61.4681,-0.614681,62.082781,0,-1.4281,O
XOM,"2021-05-12, 10:50:56",-1,61.2738,60.04,61.2738,-0.613169496,-62.082781,-1.42215,1.2338,C
XOM,,0,,,-0.6543,-2.489589955,0,-3.143889,-0.6543,
XXII,"2021-03-18, 11:02:21",5,3.22,3.03,-16.1,-0.161,16.261,0,-0.95,O
XXII,"2021-03-18, 12:35:04",-5,3.06,3.03,15.3,-0.15367303,-16.261,-1.114673,0.15,C
XXII,,0,,,-0.8,-0.31467303,0,-1.114673,-0.8,
ZH,"2021-05-25, 11:00:10",8,8.26,8.45,-66.08,-0.6608,66.7408,0,1.52,O
ZH,"2021-05-26, 11:48:43",-8,8.84,8.98,70.72,-0.708512672,-66.7408,3.270687,-1.12,C
ZH,,0,,,4.64,-1.369312672,0,3.270687,0.4,
,,,,,-678.5237,-149.2320585,582.90382,-244.851937,-30.8537,
